Q_Value,State,Action
23.91406356371727,"easy, 1, 0",ask_easy
22.70391247971381,"easy, 0, 0",ask_easy
21.16506899854376,"easy, 2, 0",ask_easy
21.105558813883874,"easy, 1, 1",ask_easy
20.22564084664431,"easy, 0, 1",ask_easy
20.17376576457853,"medium, 4, 0",ask_medium
18.96534493029341,"easy, 4, 0",ask_medium
17.14239543543072,"easy, 2, 1",ask_easy
15.126240832294126,"medium, 4, 1",ask_medium
14.22480502029039,"easy, 4, 1",ask_medium
10.044381986009318,"medium, 4, 0",ask_hard
5.957315179446043,"hard, 6, 2",end_game
5.242114097395561,"hard, 6, 1",end_game
4.63067145391107,"medium, 4, 1",ask_hard
3.3798731549066146,"easy, 5, 0",ask_hard
2.060115013398999,"easy, 2, 2",ask_easy
1.2188543783922772,"hard, 5, 0",ask_medium
0.7987937587956706,"easy, 5, 0",ask_medium
0.45513023770185557,"hard, 5, 1",ask_hard
0.2969041396581904,"easy, 3, 0",ask_medium
0.29566980863255754,"hard, 5, 0",ask_hard
-0.26139124415946036,"easy, 1, 2",ask_easy
-0.8330991854747194,"easy, 4, 1",ask_hard
-0.9680571445048534,"medium, 4, 2",ask_hard
-0.9992330963190499,"easy, 4, 2",ask_hard
-1.172651568251021,"easy, 0, 2",ask_easy
-1.7748546075075489,"hard, 6, 0",end_game
-2.0,"easy, 6, 0",ask_easy
-2.6360624544,"easy, 6, 0",end_game
-2.9150388714008706,"medium, 5, 0",ask_hard
-3.1405557100853283,"easy, 3, 0",ask_easy
-4.0,"hard, 6, 0",ask_hard
-4.0,"easy, 6, 0",ask_hard
-4.021962465763305,"hard, 6, 0",ask_easy
-4.322720338118926,"easy, 3, 1",ask_easy
-5.2121279161002505,"easy, 3, 2",ask_medium
-5.401925572007944,"easy, 4, 0",ask_hard
-5.462722427000336,"hard, 5, 0",end_game
-5.726241397146772,"easy, 5, 1",ask_hard
-5.7921789023618135,"easy, 5, 0",ask_easy
-5.944,"hard, 6, 0",ask_medium
-6.255216000000001,"easy, 6, 0",ask_medium
-6.809921869624804,"hard, 5, 0",ask_easy
-7.007399093367715,"medium, 4, 2",ask_medium
-7.308201350994377,"easy, 3, 1",ask_medium
-7.542876875823041,"medium, 5, 0",ask_medium
-8.358675496853888,"easy, 5, 1",ask_medium
-8.9034741067157,"hard, 5, 1",ask_medium
-10.365594726366114,"easy, 4, 0",ask_easy
-10.942252705833573,"easy, 4, 2",ask_medium
-11.050252400000002,"easy, 5, 2",ask_medium
-11.474942096000001,"easy, 5, 1",ask_easy
-11.55281976,"easy, 5, 2",end_game
-12.373262200000001,"easy, 5, 2",ask_hard
-12.376023648000004,"easy, 5, 1",end_game
-13.095382858577958,"hard, 5, 1",end_game
-13.296944000000002,"easy, 6, 2",ask_medium
-13.297436143788769,"hard, 5, 1",ask_easy
-13.63016,"easy, 6, 2",ask_hard
-13.92568074910617,"medium, 4, 0",end_game
-13.990124000000002,"easy, 6, 2",end_game
-14.041383678000003,"easy, 5, 2",ask_easy
-14.677923999999999,"easy, 6, 2",ask_easy
-14.901906824805764,"easy, 1, 0",ask_hard
-15.166583739003535,"easy, 4, 0",end_game
-15.330476924753066,"easy, 0, 0",end_game
-15.398559847618568,"medium, 4, 0",ask_easy
-16.250839391081374,"hard, 6, 1",ask_hard
-16.54350352985494,"easy, 0, 0",ask_medium
-16.786884161617103,"easy, 0, 0",ask_hard
-16.828301224000004,"easy, 6, 1",ask_hard
-16.961351947031943,"easy, 1, 0",end_game
-17.340591572802655,"medium, 5, 0",end_game
-17.499785598908492,"easy, 1, 0",ask_medium
-17.77975665432193,"medium, 5, 1",ask_hard
-17.822320805494318,"easy, 3, 0",ask_hard
-17.876325353151916,"easy, 2, 0",ask_hard
-18.04504189351494,"easy, 1, 1",ask_hard
-18.050402044000002,"easy, 6, 1",end_game
-18.30999942023905,"easy, 2, 0",end_game
-18.431261614940396,"easy, 3, 0",end_game
-18.44413492277564,"medium, 5, 0",ask_easy
-18.74236,"hard, 6, 1",ask_easy
-18.74236,"easy, 6, 1",ask_easy
-18.775624795475885,"hard, 5, 2",end_game
-19.247744981242263,"easy, 4, 2",ask_easy
-19.609119163285857,"medium, 5, 1",ask_medium
-19.819413760000003,"easy, 6, 1",ask_medium
-19.82535959540736,"easy, 1, 1",end_game
-19.873439060755334,"easy, 0, 1",ask_medium
-20.020508635379734,"easy, 1, 1",ask_medium
-20.18265793877014,"easy, 4, 2",end_game
-20.212940694494165,"easy, 0, 1",ask_hard
-20.218352959072682,"easy, 3, 1",end_game
-20.919009702150696,"easy, 2, 0",ask_medium
-21.0844870126364,"easy, 3, 2",ask_easy
-21.169957506361737,"easy, 3, 2",ask_hard
-21.199988806471108,"easy, 1, 2",ask_medium
-21.46376786548246,"hard, 6, 1",ask_medium
-21.467674665798594,"easy, 0, 2",ask_hard
-21.564160708179582,"easy, 1, 2",end_game
-21.580733786390113,"easy, 2, 1",end_game
-21.614277076470117,"easy, 0, 2",end_game
-21.72608324186458,"easy, 3, 1",ask_hard
-21.788961791753408,"easy, 0, 2",ask_medium
-21.997804403265107,"hard, 5, 2",ask_hard
-22.085118505522686,"easy, 4, 1",end_game
-22.194458950393244,"easy, 3, 2",end_game
-22.196252765683784,"hard, 5, 2",ask_easy
-22.503841238059117,"easy, 4, 1",ask_easy
-22.63987331251788,"easy, 1, 2",ask_hard
-22.705226818919176,"hard, 5, 2",ask_medium
-22.768219654860253,"easy, 0, 1",end_game
-22.784126519926645,"easy, 2, 2",ask_medium
-22.868659828046916,"easy, 2, 2",end_game
-23.560574500963,"medium, 6, 0",ask_medium
-23.63377315636898,"easy, 2, 2",ask_hard
-23.64419108834166,"easy, 2, 1",ask_medium
-23.646360848668007,"medium, 4, 1",end_game
-24.240763446511256,"medium, 4, 1",ask_easy
-24.370734330069652,"easy, 2, 1",ask_hard
-24.846433814592242,"medium, 6, 0",ask_hard
-25.114263098075877,"hard, 6, 2",ask_easy
-25.57950116148136,"medium, 4, 2",ask_easy
-26.06081417375936,"medium, 4, 2",end_game
-26.209723694162527,"medium, 5, 2",ask_easy
-26.557411421036374,"medium, 5, 2",end_game
-26.664252611942054,"medium, 6, 0",ask_easy
-26.720550164898846,"medium, 5, 2",ask_medium
-27.472907704030916,"medium, 6, 0",end_game
-27.761586856538965,"medium, 5, 2",ask_hard
-29.1718584168322,"hard, 6, 2",ask_hard
-30.37144323335603,"medium, 5, 1",ask_easy
-30.507851201810837,"medium, 5, 1",end_game
-31.30055065133264,"medium, 6, 2",ask_easy
-31.583454990755367,"hard, 6, 2",ask_medium
-32.145927849191,"medium, 6, 2",end_game
-32.53729696193297,"medium, 6, 2",ask_medium
-32.893343593495345,"medium, 6, 2",ask_hard
-33.83352083414112,"medium, 6, 1",ask_easy
-35.357386116960946,"medium, 6, 1",ask_medium
-35.77363460164696,"medium, 6, 1",end_game
-36.1774131234262,"medium, 6, 1",ask_hard
